@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1950-Q1,1950-01-01,-35.9066427289048,-35.9066427289048,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1950-Q2,1950-04-01,-91.1552346570397,-91.1552346570397,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1950-Q3,1950-07-01,-5.44959128065395,-5.44959128065395,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1950-Q4,1950-10-01,-164.028228113675,-164.028228113675,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1951-Q1,1951-01-01,-222.984562607204,-222.984562607204,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1951-Q2,1951-04-01,-329.79423094992,-329.79423094992,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1951-Q3,1951-07-01,-60.53726825577,-60.53726825577,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1951-Q4,1951-10-01,131.730769230769,131.730769230769,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1952-Q1,1952-01-01,32.9802118728763,32.9802118728763,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1952-Q2,1952-04-01,49.9337613370019,49.9337613370019,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1952-Q3,1952-07-01,86.1442656979761,86.1442656979761,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1952-Q4,1952-10-01,22.6687274600721,22.6687274600721,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1953-Q1,1953-01-01,-191.402251791198,-191.402251791198,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1953-Q2,1953-04-01,-197.839911173917,-197.839911173917,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1953-Q3,1953-07-01,-17.2047363627163,-17.2047363627163,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1953-Q4,1953-10-01,-49.0897934137861,-49.0897934137861,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1954-Q1,1954-01-01,-181.424595402536,-181.424595402536,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
