,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BACK_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,BCA_BP6_USD,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,FIGB_PA,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,NYGDPMKTPSACD,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,PCPI_PC_CP_A_PT,Year sin,Year cos
,CA,CA,CN,CN,DE,DE,FR,FR,GB,GB,IN,IN,IT,IT,JP,JP,KR,KR,RU,RU,US,US,CA,CA,CN,CN,DE,DE,FR,FR,GB,GB,IN,IN,IT,IT,JP,JP,KR,KR,RU,RU,US,US,CA,CA,DE,DE,FR,FR,GB,GB,IN,IN,IT,IT,JP,JP,KR,KR,RU,RU,US,US,CA,CA,CN,CN,DE,DE,FR,FR,GB,GB,IN,IN,IT,IT,JP,JP,KR,KR,RU,RU,US,US,CA,CA,CN,CN,DE,DE,FR,FR,GB,GB,IN,IN,IT,IT,JP,JP,KR,KR,RU,RU,US,US,,
,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,value,increment,,
period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-01-11,-2351.7096005890035,0.0,24834.0821327458,0.0,1395.9091325311115,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1312.1775545882604,0.0,19305.9484907662,0.0,-290.2637362637363,0.0,2313.33,0.0,2581.2087912087914,0.0,-2476.6886290547404,0.0,23836.1897545938,0.0,1393.1429191978355,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1325.424241503868,0.0,20894.2190144932,0.0,-290.2637362637363,0.0,1996.33,0.0,2581.2087912087914,0.0,9.27,0.0,7.899999999,0.0,9.06,0.0,13.46,0.0,6.309999999,0.0,13.96,0.0,2.1,0.0,21.4,0.0,8.79,0.0,7.79,0.0,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.31899641577061,0.0,21.1000108182218,0.0,5.33332471434101,0.0,9.52378515434181,0.0,22.8876156042787,0.0,-10.7261963907102,0.0,11.7753790370836,0.0,9.38697318007664,0.0,22.1754597158195,0.0,850.456898127562,0.0,6.28571428571427,0.0,0.16347653046750846,0.9865472233939467
1976-01-18,-2351.7096005890035,0.0,24834.0821327458,0.0,1395.9091325311115,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1312.1775545882604,0.0,19305.9484907662,0.0,-290.2637362637363,0.0,2313.33,0.0,2581.2087912087914,0.0,-2476.6886290547404,0.0,23836.1897545938,0.0,1393.1429191978355,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1325.424241503868,0.0,20894.2190144932,0.0,-290.2637362637363,0.0,1996.33,0.0,2581.2087912087914,0.0,9.27,0.0,7.899999999,0.0,9.06,0.0,13.46,0.0,6.309999999,0.0,13.96,0.0,2.1,0.0,21.4,0.0,8.79,0.0,7.79,0.0,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.31899641577061,0.0,21.1000108182218,0.0,5.33332471434101,0.0,9.52378515434181,0.0,22.8876156042787,0.0,-10.7261963907102,0.0,11.7753790370836,0.0,9.38697318007664,0.0,22.1754597158195,0.0,850.456898127562,0.0,6.28571428571427,0.0,0.2808052847788751,0.9597647586988464
1976-01-25,-2351.7096005890035,0.0,24834.0821327458,0.0,1395.9091325311115,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1312.1775545882604,0.0,19305.9484907662,0.0,-290.2637362637363,0.0,2313.33,0.0,2581.2087912087914,0.0,-2476.6886290547404,0.0,23836.1897545938,0.0,1393.1429191978355,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1325.424241503868,0.0,20894.2190144932,0.0,-290.2637362637363,0.0,1996.33,0.0,2581.2087912087914,0.0,9.27,0.0,7.899999999,0.0,9.06,0.0,13.46,0.0,6.309999999,0.0,13.96,0.0,2.1,0.0,21.4,0.0,8.79,0.0,7.79,0.0,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.31899641577061,0.0,21.1000108182218,0.0,5.33332471434101,0.0,9.52378515434181,0.0,22.8876156042787,0.0,-10.7261963907102,0.0,11.7753790370836,0.0,9.38697318007664,0.0,22.1754597158195,0.0,850.456898127562,0.0,6.28571428571427,0.0,0.3940670415184532,0.9190816975595225
1976-02-01,-2351.7096005890035,0.0,24834.0821327458,0.0,1395.9091325311115,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1312.1775545882604,0.0,19305.9484907662,0.0,-290.2637362637363,0.0,2313.33,0.0,2581.2087912087914,0.0,-2476.6886290547404,0.0,23836.1897545938,0.0,1393.1429191978355,0.0,-441.06111611695354,0.0,-355.2387294627814,0.0,415.8855586713911,0.0,-1325.424241503868,0.0,20894.2190144932,0.0,-290.2637362637363,0.0,1996.33,0.0,2581.2087912087914,0.0,9.27,0.0,7.899999999,0.0,9.06,0.0,13.46,0.0,6.309999999,0.0,13.96,0.0,2.1,0.0,21.4,0.0,8.79,0.0,7.79,0.0,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.31899641577061,0.0,21.1000108182218,0.0,5.33332471434101,0.0,9.52378515434181,0.0,22.8876156042787,0.0,-10.7261963907102,0.0,11.7753790370836,0.0,9.38697318007664,0.0,22.1754597158195,0.0,850.456898127562,0.0,6.28571428571427,0.0,0.5016213924937923,0.8650872664607824
1976-02-08,-2343.6035900531883,8.10601053581513,24834.0821327458,0.0,1388.2155190886547,-7.693613442456808,-448.2267599075506,-7.165643790597073,-354.55498924388655,0.6837402188948545,414.8998035737025,-0.9857550976885818,-1301.286969651187,10.8905849370733,19305.9484907662,0.0,-287.78680626359176,2.4769300001445345,2313.33,0.0,2554.050640599894,-27.15815060889736,-2468.6990669229335,7.989562131806906,23836.1897545938,0.0,1385.5090314537956,-7.633887744039839,-448.2267599075506,-7.165643790597073,-354.55498924388655,0.6837402188948545,414.8998035737025,-0.9857550976885818,-1314.4935393669086,10.930702136959326,20894.2190144932,0.0,-287.78680626359176,2.4769300001445345,1996.33,0.0,2554.050640599894,-27.15815060889736,9.269788736639494,-0.00021126336050514283,7.90140842140337,0.0014084224033696913,9.063732319368928,0.0037323193689271505,13.466126637454652,0.006126637454650918,6.3095774722860325,-0.00042252671396791897,13.96,0.0,2.1,0.0,21.40070421120168,0.0007042112016826252,8.79,0.0,7.789859157759663,-0.00014084224033705794,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.296339818212019,-0.02265659755859062,21.1000108182218,0.0,5.324393294831175,-0.008931419509834448,9.52356736655666,-0.00021778778515013641,22.823501366525335,-0.06411423775336544,-10.700996136190222,0.025200254519978316,11.812069523891497,0.036690486807897216,9.387501292174235,0.0005281120975961784,22.121330947544898,-0.05412876827460167,850.456898127562,0.0,6.28165316770824,-0.004061118006029929,0.6019105917935219,0.7985634849445423
1976-02-15,-2330.744869802723,12.858720250465467,24834.0821327458,0.0,1376.0109922706024,-12.204526818052273,-459.59375832319034,-11.366998415639728,-353.47035899822936,1.0846302456571948,413.3360813233251,-1.5637222503773955,-1284.0110255291045,17.275944122082592,19305.9484907662,0.0,-283.85760461610835,3.92920164748341,2313.33,0.0,2510.969144510438,-43.08149608945587,-2456.025071013023,12.673995909910445,23836.1897545938,0.0,1373.3992486586283,-12.109782795167348,-459.59375832319034,-11.366998415639728,-353.47035899822936,1.0846302456571948,413.3360813233251,-1.5637222503773955,-1297.1539565598914,17.339582807017223,20894.2190144932,0.0,-283.85760461610835,3.92920164748341,1996.33,0.0,2510.969144510438,-43.08149608945587,9.269453605511806,-0.00033513112768801534,7.903642628921283,0.0022342075179127008,9.069652969291397,0.005920649922469323,13.475845440157574,0.009718802702922247,6.30890721004183,-0.0006702622442027462,13.96,0.0,2.1,0.0,21.40182131496064,0.0011171037589576827,8.79,0.0,7.789635737007871,-0.00022342075179171417,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.260399222212785,-0.03594059599923405,21.1000108182218,0.0,5.310225212466974,-0.014168082364201418,9.523221885608805,-0.00034548094785513683,22.721795719376253,-0.10170564714908181,-10.661020488282885,0.039975647907336764,11.870272348034346,0.05820282414284961,9.388339046541056,0.0008377543668203202,22.035465442476774,-0.08586550506812429,850.456898127562,0.0,6.275210938190659,-0.0064422295175807776,0.6934821171463892,0.7204738393572399
1976-02-22,-2314.810406568026,15.934463234696977,24834.0821327458,0.0,1360.8872023373012,-15.123789933301168,-473.6796871570735,-14.085928833883145,-352.1262905033852,1.34406849484418,411.39832435975677,-1.9377569635683471,-1262.6027600799796,21.408265449124883,19305.9484907662,0.0,-278.98855715461866,4.869047461489686,2313.33,0.0,2457.5827652937096,-53.38637921672853,-2440.319517277545,15.705553735478134,23836.1897545938,0.0,1358.3928650550363,-15.006383603591985,-473.6796871570735,-14.085928833883145,-352.1262905033852,1.34406849484418,411.39832435975677,-1.9377569635683471,-1275.6668303636902,21.48712619620119,20894.2190144932,0.0,-278.98855715461866,4.869047461489686,1996.33,0.0,2457.5827652937096,-53.38637921672853,9.269038312657704,-0.0004152928541021339,7.906411247948638,0.002768619027355257,9.076989809713888,0.007336840422491164,13.487888932926568,0.012043492768993858,6.308076624347467,-0.0008305856943628953,13.96,0.0,2.1,0.0,21.403205624474317,0.0013843095136785166,8.79,0.0,7.789358875105137,-0.0002768619027344599,103187.381146428,0.0,110902.210110781,0.0,305662.596054793,0.0,237856.863733743,0.0,182001.384262501,0.0,94917.4491853418,0.0,150925.969613334,0.0,591214.930006081,0.0,32792.3999409979,0.0,22530.3194404656,0.0,1180600.0,0.0,9.215861811457453,-0.04453741075533202,21.1000108182218,0.0,5.292668194105807,-0.017557018361166854,9.522793767308176,-0.00042811830062916556,22.595762578932174,-0.1260331404440791,-10.611482860940884,0.0495376273420014,11.942397003007397,0.07212465497305054,9.389377187654462,0.0010381411134066099,21.929061328615816,-0.1064041138609575,850.456898127562,0.0,6.267227758885263,-0.007983179305395716,0.7750097072907974,0.6319493283523865
