,AFG,ALB,ALG,AND,ANG,AAB,ARG,ARM,AUL,AUS,AZE,BHM,BAH,BNG,BAR,BLR,BEL,BLZ,BEN,BHU,BOL,BOS,BOT,BRA,BRU,BUL,BFO,MYA,BUI,CAP,CAM,CAO,CAN,CEN,CHA,CHL,CHN,COL,COM,DRC,CON,COS,CDI,CRO,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,SAL,EQG,ERI,EST,SWA,ETH,FIJ,FIN,FRN,GAB,GAM,GRG,GER,GHA,GRC,GRN,GUA,GUI,GNB,GUY,HAI,HON,HUN,ICE,IND,INS,IRN,IRQ,IRE,ISR,ITA,JAM,JPN,JOR,KZK,KEN,KIR,PRK,KOR,KOS,KUW,KYR,LAO,LAT,LEB,LES,LBR,LIB,LIE,LIT,LUX,MAG,MAW,MAL,MAD,MLI,MLT,MSI,MAA,MAS,MEX,FSM,MLD,MNC,MON,MNG,MOR,MZM,NAM,NAU,NEP,NTH,NEW,NIC,NIR,NIG,MAC,NOR,OMA,PAK,PAL,PAN,PNG,PAR,PER,PHI,POL,POR,QAT,ROM,RUS,RWA,SKN,SLU,SVG,WSM,SNM,STP,SAU,SEN,SER,SEY,SIE,SIN,SLO,SLV,SOL,SOM,SAF,SSD,SPN,SRI,SUD,SUR,SWD,SWZ,SYR,TAW,TAJ,TAZ,THI,ETM,TOG,TON,TRI,TUN,TUR,TKM,TUV,UGA,UKR,UAE,UKG,USA,URU,UZB,VAN,VEN,DRV,YEM,ZAM,ZIM
AFG,50,38,39,20,34,31,38,36,39,38,42,33,38,44,33,35,37,30,39,33,36,38,36,38,31,35,40,36,34,34,35,38,37,35,37,38,39,39,33,39,38,38,41,37,30,38,36,37,36,30,37,38,39,36,28,31,34,33,37,36,38,39,37,37,36,38,39,37,27,38,39,35,32,35,37,37,33,43,42,43,37,36,36,38,34,42,42,42,34,22,22,40,6,37,42,34,33,37,35,36,37,17,33,36,39,36,40,37,40,35,21,38,38,37,22,35,22,42,35,39,39,36,16,40,38,37,35,39,41,35,38,34,46,19,37,37,36,39,41,36,38,38,37,39,35,25,31,28,30,26,32,38,41,36,35,38,35,33,33,25,31,38,21,38,42,38,33,38,38,36,4,44,39,42,31,39,27,37,41,42,35,19,39,35,36,36,37,36,40,30,37,38,39,37,35
ALB,38,50,38,22,33,31,38,39,38,46,43,32,36,38,31,38,44,32,40,26,37,44,34,38,27,46,40,32,32,34,34,38,43,33,35,38,34,39,32,38,36,39,39,46,30,42,46,42,35,32,39,38,41,37,28,31,41,32,35,34,43,46,36,35,43,45,38,46,27,39,37,34,34,37,38,46,40,37,38,36,35,40,40,46,33,43,42,40,33,22,20,39,7,37,39,32,41,37,33,35,36,21,42,42,39,35,36,32,38,42,20,37,38,40,19,43,26,38,43,41,38,34,14,35,44,37,35,38,41,45,43,32,38,19,38,34,37,39,38,45,44,39,47,43,33,26,33,28,29,28,34,37,41,44,36,37,31,45,43,24,28,37,20,44,37,36,35,42,43,34,3,39,37,40,29,38,26,36,43,46,33,19,37,44,35,42,41,38,36,30,37,35,38,34,34
ALG,39,38,59,19,38,32,45,35,38,40,41,36,45,43,33,34,42,33,43,29,38,43,37,48,31,39,42,34,34,37,33,42,41,35,37,43,43,43,39,41,39,40,43,42,33,41,40,41,41,31,39,41,53,38,32,34,38,36,39,34,41,42,41,38,37,42,43,41,28,42,39,37,33,37,37,40,38,48,44,44,43,40,39,42,38,42,48,38,41,23,24,42,6,48,36,31,38,45,36,37,48,18,36,38,40,39,42,33,41,38,21,47,41,43,21,36,27,40,38,53,43,39,14,38,42,38,38,40,50,38,43,41,44,20,39,36,39,44,43,41,42,48,42,43,37,26,32,28,29,26,35,49,45,42,37,39,36,37,37,23,37,46,22,42,44,45,36,42,43,44,3,37,42,44,29,40,29,38,53,43,33,19,40,39,47,41,41,39,34,31,44,36,46,38,38
AND,20,22,19,23,17,16,20,21,20,22,20,17,18,18,16,19,21,16,19,15,20,22,18,20,17,22,20,17,19,20,18,18,21,18,19,20,18,20,17,20,19,21,21,22,19,22,22,20,19,15,21,20,19,19,17,15,21,16,17,17,20,23,19,18,22,21,20,22,15,20,19,18,16,20,19,22,20,18,18,18,17,20,20,22,17,21,20,19,16,12,13,20,1,18,19,18,22,19,18,18,18,14,22,21,20,18,18,18,19,22,11,19,20,21,12,23,20,20,22,20,19,18,11,18,21,18,18,19,19,22,21,16,18,11,20,17,20,20,20,22,22,19,23,20,18,15,17,15,17,20,19,18,20,22,20,18,18,21,22,12,14,19,10,22,18,18,16,20,22,18,2,20,19,20,17,18,16,18,21,20,16,10,18,21,19,20,18,21,19,16,20,19,17,18,17
ANG,34,33,38,17,44,31,38,33,31,35,35,34,34,35,33,31,33,31,39,28,36,35,38,39,27,32,37,32,35,38,33,39,33,35,36,37,35,37,33,40,39,37,39,34,32,35,33,33,35,31,38,38,37,37,34,33,31,37,38,34,34,36,38,37,34,34,39,34,28,37,36,37,32,37,37,34,31,37,35,35,34,32,33,35,35,36,35,34,36,22,23,34,6,36,32,31,30,34,36,36,37,15,31,32,39,39,34,29,37,34,20,37,40,36,21,32,22,34,32,37,40,39,14,35,34,32,36,37,40,32,34,31,36,19,37,35,36,37,37,33,37,35,35,34,36,26,32,29,29,24,37,37,39,33,36,37,30,32,30,24,31,39,22,35,36,37,32,34,34,33,3,33,39,36,31,38,27,36,38,35,29,19,37,33,34,32,31,36,30,31,37,34,36,37,39
AAB,31,31,32,16,31,43,36,29,31,31,31,39,31,33,38,29,31,37,33,24,34,33,32,36,27,31,32,28,30,31,29,33,34,29,29,36,32,38,32,33,32,36,33,32,32,34,31,31,31,39,39,35,31,35,27,29,30,31,31,33,32,32,32,32,30,32,36,32,36,36,32,31,39,38,35,32,31,34,32,31,29,30,30,32,39,32,33,30,31,25,20,31,6,31,28,27,30,31,31,34,31,14,29,30,33,33,32,30,31,32,23,31,35,37,21,29,19,32,30,32,34,32,18,31,31,32,33,31,36,30,31,28,34,20,36,32,34,36,34,31,32,31,32,31,30,35,40,38,30,23,30,32,34,31,33,33,32,30,28,27,27,35,19,31,34,31,38,32,31,29,3,30,35,33,28,31,28,40,34,31,27,21,33,31,29,33,30,34,28,32,38,31,32,31,31
ARG,38,38,45,20,38,36,72,35,49,52,39,40,39,43,39,37,50,39,43,30,51,41,38,67,30,45,40,34,34,38,35,41,53,34,35,60,54,57,34,43,39,51,43,50,41,45,46,50,37,35,50,54,45,50,31,35,43,36,40,37,52,56,40,38,37,54,44,48,32,52,39,35,41,44,51,48,42,52,46,42,36,48,41,56,42,55,43,40,40,22,25,56,6,42,35,33,42,40,37,38,40,19,41,45,42,41,43,32,39,43,23,39,43,63,21,37,27,40,40,45,42,40,15,42,52,48,47,38,48,39,51,35,46,20,52,37,54,58,48,47,53,41,49,51,37,29,36,32,30,28,36,43,45,45,37,38,39,44,44,24,32,52,21,55,46,40,41,51,51,37,5,36,42,44,31,40,29,45,44,49,31,19,40,46,40,52,51,52,34,32,53,38,41,38,39
ARM,36,39,35,21,33,29,35,49,34,43,44,33,33,36,30,43,39,30,35,29,35,40,33,36,29,38,35,31,31,32,35,34,38,31,32,35,36,35,29,35,34,36,35,41,31,40,39,37,31,29,36,35,38,36,29,29,36,31,33,32,40,42,33,32,42,40,37,41,25,36,33,32,30,35,34,40,35,37,36,34,32,39,37,40,34,38,36,44,32,21,21,37,6,33,43,33,35,35,32,32,34,18,36,38,35,33,35,30,34,38,19,34,35,37,21,41,25,36,38,37,34,32,14,36,38,34,33,34,36,39,38,31,36,19,35,34,34,35,36,39,39,36,40,45,33,24,30,27,27,25,30,35,35,41,33,33,30,38,37,23,27,34,20,39,37,34,29,39,40,33,3,43,35,38,28,34,25,34,39,41,34,19,33,43,33,36,36,36,39,30,34,36,34,32,33
AUL,39,38,38,20,31,31,49,34,72,51,38,32,36,44,31,37,54,31,37,29,36,38,34,48,35,45,36,37,29,32,36,37,62,30,31,45,51,42,29,38,35,40,36,45,31,44,48,54,31,29,39,41,40,38,25,29,45,32,36,41,55,58,33,32,37,57,39,50,24,41,35,30,31,34,38,48,44,54,47,38,33,51,41,58,33,66,42,38,36,26,22,62,6,38,37,34,43,35,33,34,34,20,41,48,38,35,44,32,36,42,24,34,39,52,24,37,25,42,39,42,38,36,18,39,56,62,35,34,42,38,55,31,44,24,39,44,37,45,47,50,53,36,47,54,34,24,30,26,32,27,31,39,40,43,34,35,45,46,45,28,26,48,19,56,43,34,31,55,55,33,6,36,40,47,31,35,31,38,40,55,31,22,36,43,35,58,65,38,33,33,38,40,36,36,34
AUS,38,46,40,22,35,31,52,43,51,75,45,34,35,41,34,42,68,33,41,29,39,46,36,50,29,55,39,32,33,36,36,37,59,33,34,45,47,42,32,40,38,42,39,60,31,51,61,64,37,32,41,41,43,41,30,32,55,34,38,36,67,70,36,35,46,68,42,65,27,41,38,34,34,39,40,65,47,48,41,36,33,63,47,70,35,59,41,43,38,23,21,56,7,38,39,33,51,37,35,35,36,23,50,59,41,38,39,31,38,51,21,36,40,51,21,45,28,40,45,43,38,37,15,40,66,49,38,37,43,49,61,31,42,20,40,35,41,42,42,60,65,38,58,55,36,26,33,28,30,29,34,38,41,54,36,36,36,60,59,24,30,47,21,65,41,38,34,67,63,33,4,39,40,43,29,39,27,38,44,59,34,20,39,50,36,62,57,40,37,31,40,37,38,36,36
