,KOR,FRN,RUS,JPN,GER,CHN,UKG,USA,AUL,IND
KOR,0.0,0.6770833333333334,0.6458333333333334,0.7395833333333334,0.6770833333333334,0.6770833333333334,0.0,0.7083333333333334,0.6458333333333334,0.6458333333333334
FRN,0.6770833333333334,0.0,0.6458333333333334,0.7395833333333334,0.8541666666666666,0.0,0.8125,0.8020833333333334,0.0,0.0
RUS,0.6458333333333334,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,0.65625,0.0,0.0
JPN,0.7395833333333334,0.7395833333333334,0.0,0.0,0.75,0.0,0.7395833333333334,0.8020833333333334,0.6875,0.6458333333333334
GER,0.6770833333333334,0.8541666666666666,0.0,0.75,0.0,0.0,0.8333333333333334,0.7604166666666666,0.0,0.0
CHN,0.6770833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
UKG,0.0,0.8125,0.0,0.7395833333333334,0.8333333333333334,0.0,0.0,0.78125,0.0,0.0
USA,0.7083333333333334,0.8020833333333334,0.65625,0.8020833333333334,0.7604166666666666,0.0,0.78125,0.0,0.6770833333333334,0.0
AUL,0.6458333333333334,0.0,0.0,0.6875,0.0,0.0,0.0,0.6770833333333334,0.0,0.0
IND,0.6458333333333334,0.0,0.0,0.6458333333333334,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
