,KOR,FRN,RUS,JPN,GER,CHN,UKG,USA,AUL,IND
KOR,0.8229166666666666,0.6770833333333334,0.6458333333333334,0.7395833333333334,0.6770833333333334,0.6770833333333334,0.6354166666666666,0.7083333333333334,0.6458333333333334,0.6458333333333334
FRN,0.6770833333333334,1.0,0.6458333333333334,0.7395833333333334,0.8541666666666666,0.6145833333333334,0.8125,0.8020833333333334,0.6041666666666666,0.59375
RUS,0.6458333333333334,0.6458333333333334,0.8333333333333334,0.6354166666666666,0.6041666666666666,0.625,0.5833333333333334,0.65625,0.5625,0.6041666666666666
JPN,0.7395833333333334,0.7395833333333334,0.6354166666666666,0.875,0.75,0.625,0.7395833333333334,0.8020833333333334,0.6875,0.6458333333333334
GER,0.6770833333333334,0.8541666666666666,0.6041666666666666,0.75,0.9166666666666666,0.59375,0.8333333333333334,0.7604166666666666,0.59375,0.5833333333333334
CHN,0.6770833333333334,0.6145833333333334,0.625,0.625,0.59375,0.8020833333333334,0.5833333333333334,0.6354166666666666,0.53125,0.6666666666666666
UKG,0.6354166666666666,0.8125,0.5833333333333334,0.7395833333333334,0.8333333333333334,0.5833333333333334,0.8854166666666666,0.78125,0.6041666666666666,0.5729166666666666
USA,0.7083333333333334,0.8020833333333334,0.65625,0.8020833333333334,0.7604166666666666,0.6354166666666666,0.78125,0.9583333333333334,0.6770833333333334,0.625
AUL,0.6458333333333334,0.6041666666666666,0.5625,0.6875,0.59375,0.53125,0.6041666666666666,0.6770833333333334,0.75,0.5625
IND,0.6458333333333334,0.59375,0.6041666666666666,0.6458333333333334,0.5833333333333334,0.6666666666666666,0.5729166666666666,0.625,0.5625,0.8333333333333334
