@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-01,1950-01-01,0.0,0.0,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-02,1950-02-01,0.826446280991735,0.826446280991735,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-03,1950-03-01,1.65289256198347,1.65289256198347,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-04,1950-04-01,1.65289256198347,1.65289256198347,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-05,1950-05-01,1.65289256198347,1.65289256198347,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-06,1950-06-01,1.65289256198347,1.65289256198347,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-07,1950-07-01,2.47933884297521,2.47933884297521,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-08,1950-08-01,2.45901639344262,2.45901639344262,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-09,1950-09-01,4.0983606557377,4.0983606557377,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-10,1950-10-01,4.8780487804878,4.8780487804878,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-11,1950-11-01,4.8780487804878,4.8780487804878,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1950-12,1950-12-01,5.73770491803279,5.73770491803279,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-01,1951-01-01,7.43801652892562,7.43801652892562,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-02,1951-02-01,9.01639344262295,9.01639344262295,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-03,1951-03-01,8.94308943089431,8.94308943089431,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-04,1951-04-01,10.5691056910569,10.5691056910569,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-05,1951-05-01,10.5691056910569,10.5691056910569,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-06,1951-06-01,13.0081300813008,13.0081300813008,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-07,1951-07-01,12.0967741935484,12.0967741935484,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-08,1951-08-01,12.0,12.0,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-09,1951-09-01,11.0236220472441,11.0236220472441,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-10,1951-10-01,10.077519379845,10.077519379845,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-11,1951-11-01,10.8527131782946,10.8527131782946,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1951-12,1951-12-01,10.8527131782946,10.8527131782946,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CA.PCPI_PC_CP_A_PT,"Monthly – Canada – Consumer Price Index, All items, Percentage change, Previous year",1952-01,1952-01-01,10.7692307692308,10.7692307692308,M,CA,PCPI_PC_CP_A_PT,Monthly,Canada,"Consumer Price Index, All items, Percentage change, Previous year"
