@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-01,1950-01-01,2.83,2.83,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-02,1950-02-01,2.81,2.81,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-03,1950-03-01,2.82,2.82,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-04,1950-04-01,2.82,2.82,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-05,1950-05-01,2.81,2.81,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-06,1950-06-01,2.83,2.83,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-07,1950-07-01,2.93,2.93,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-08,1950-08-01,2.81,2.81,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-09,1950-09-01,2.84,2.84,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.CA.FIGB_PA,"Monthly – Canada – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",1950-10,1950-10-01,2.82,2.82,M,CA,FIGB_PA,Monthly,Canada,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
