@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,INDICATOR,REF_AREA,frequency (label),indicator (label),country (label)
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1987-Q1,1987-01-01,103187.381146428,103187.381146428,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1987-Q2,1987-04-01,106405.184012192,106405.184012192,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1987-Q3,1987-07-01,109964.200009697,109964.200009697,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1987-Q4,1987-10-01,113587.295740819,113587.295740819,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1988-Q1,1988-01-01,120463.636259723,120463.636259723,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1988-Q2,1988-04-01,126228.039452803,126228.039452803,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1988-Q3,1988-07-01,129403.613775718,129403.613775718,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1988-Q4,1988-10-01,133423.068599094,133423.068599094,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1989-Q1,1989-01-01,137589.581298718,137589.581298718,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1989-Q2,1989-04-01,140291.796442773,140291.796442773,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
