StateAbb,CCode,DCAD_dataset,IGO_dataset
AAB,58,Antigua & Barbuda,Antigua and Barbuda
AFG,700,Afghanistan,Afghanistan
ALB,339,Albania,Albania
ALG,615,Algeria,Algeria
AND,232,Andorra,Andorra
ANG,540,Angola,Angola
ARG,160,Argentina,Argentina
ARM,371,Armenia,Armenia
AUL,900,Australia,Australia
AUS,305,Austria,Austria
AZE,373,Azerbaijan,Azerbaijan
BAH,692,Bahrain,Bahrain
BAR,53,Barbados,Barbados
BEL,211,Belgium,Belgium
BEN,434,Benin,Benin
BFO,439,Burkina Faso,Burkina Faso
BHM,31,Bahamas,"Bahamas, The"
BHU,760,Bhutan,Bhutan
BLR,370,Belarus,Belarus
BLZ,80,Belize,Belize
BNG,771,Bangladesh,Bangladesh
BOL,145,Bolivia,Bolivia
BOS,346,Bosnia and Herzegovina,Bosnia and Herzegovina
BOT,571,Botswana,Botswana
BRA,140,Brazil,Brazil
BRU,835,Brunei,Brunei
BUI,516,Burundi,Burundi
BUL,355,Bulgaria,Bulgaria
CAM,811,Cambodia,Cambodia
CAN,20,Canada,Canada
CAO,471,Cameroon,Cameroon
CAP,402,Cape Verde,Cabo Verde
CDI,437,Ivory Coast,Cote d'Ivoire
CEN,482,Central African Republic,Central African Republic
CHA,483,Chad,Chad
CHL,155,Chile,Chile
CHN,710,China,China
COL,100,Colombia,Colombia
COM,581,Comoros,Comoros
CON,484,Congo,"Congo, Republic of the"
COS,94,Costa Rica,Costa Rica
CRO,344,Croatia,Croatia
CUB,40,Cuba,Cuba
CYP,352,Cyprus,Cyprus
CZE,316,Czech Republic,Czechia
DEN,390,Denmark,Denmark
DJI,522,Djibouti,Djibouti
DMA,54,Dominica,Dominica
DOM,42,Dominican Republic,Dominican Republic
DRC,490,Democratic Republic of the Congo,"Congo, Democratic Republic of the"
DRV,816,Vietnam,Vietnam
ECU,130,Ecuador,Ecuador
EGY,651,Egypt,Egypt
EQG,411,Equatorial Guinea,Equatorial Guinea
ERI,531,Eritrea,Eritrea
EST,366,Estonia,Estonia
ETH,530,Ethiopia,Ethiopia
ETM,860,East Timor,Timor-Leste
FIJ,950,Fiji,Fiji
FIN,375,Finland,Finland
FRN,220,France,France
FSM,987,Federated States of Micronesia,"Micronesia, Federated States of"
GAB,481,Gabon,Gabon
GAM,420,Gambia,"Gambia, The"
GHA,452,Ghana,Ghana
GER,255,Germany,Germany
GNB,404,Guinea-Bissau,Guinea-Bissau
GRC,350,Greece,Greece
GRG,372,Georgia,Georgia
GRN,55,Grenada,Grenada
GUA,90,Guatemala,Guatemala
GUI,438,Guinea,Guinea
GUY,110,Guyana,Guyana
HAI,41,Haiti,Haiti
HON,91,Honduras,Honduras
HUN,310,Hungary,Hungary
ICE,395,Iceland,Iceland
IND,750,India,India
INS,850,Indonesia,Indonesia
IRE,205,Ireland,Ireland
IRN,630,Iran,Iran
IRQ,645,Iraq,Iraq
ISR,666,Israel,Israel
ITA,325,Italy,Italy
JAM,51,Jamaica,Jamaica
JOR,663,Jordan,Jordan
JPN,740,Japan,Japan
KEN,501,Kenya,Kenya
KIR,946,Kiribati,Kiribati
KOR,730,Korea,"Korea, South"
KOS,347,Kosovo,Kosovo
KUW,690,Kuwait,Kuwait
KYR,703,Kyrgyzstan,Kyrgyzstan
KZK,705,Kazakhstan,Kazakhstan
LAO,812,Laos,Laos
LAT,367,Latvia,Latvia
LBR,450,Liberia,Liberia
LEB,660,Lebanon,Lebanon
LES,570,Lesotho,Lesotho
LIB,620,Libya,Libya
LIE,223,Liechtenstein,Liechtenstein
LIT,368,Lithuania,Lithuania
LUX,212,Luxembourg,Luxembourg
MAA,435,Mauritania,Mauritania
MAC,343,Macedonia,North Macedonia
MAD,781,Maldives,Maldives
MAG,580,Madagascar,Madagascar
MAL,820,Malaysia,Malaysia
MAS,590,Mauritius,Mauritius
MAW,553,Malawi,Malawi
MEX,70,Mexico,Mexico
MLD,359,Moldova,Moldova
MLI,432,Mali,Mali
MLT,338,Malta,Malta
MNC,221,Monaco,Monaco
MNG,341,Montenegro,Montenegro
MON,712,Mongolia,Mongolia
MOR,600,Morocco,Morocco
MSI,983,Marshall Islands,Marshall Islands
MYA,775,Myanmar,Myanmar
MZM,541,Mozambique,Mozambique
NAM,565,Namibia,Namibia
NAU,970,Nauru,Nauru
NEP,790,Nepal,Nepal
NEW,920,New Zealand,New Zealand
NIC,93,Nicaragua,Nicaragua
NIG,475,Nigeria,Nigeria
NIR,436,Niger,Niger
NOR,385,Norway,Norway
NTH,210,Netherlands,Netherlands
OMA,698,Oman,Oman
PAK,770,Pakistan,Pakistan
PAL,986,Palau,Palau
PAN,95,Panama,Panama
PAR,150,Paraguay,Paraguay
PER,135,Peru,Peru
PHI,840,Philippines,Philippines
PNG,910,Papua New Guinea,Papua New Guinea
POL,290,Poland,Poland
POR,235,Portugal,Portugal
PRK,731,North Korea,"Korea, North"
QAT,694,Qatar,Qatar
ROM,360,Romania,Romania
RUS,365,Russia,Russia
RWA,517,Rwanda,Rwanda
SAF,560,South Africa,South Africa
SAL,92,El Salvador,El Salvador
SAU,670,Saudi Arabia,Saudi Arabia
SEN,433,Senegal,Senegal
SER,345,Serbia,Serbia
SEY,591,Seychelles,Seychelles
SIE,451,Sierra Leone,Sierra Leone
SIN,830,Singapore,Singapore
SKN,60,St. Kitts and Nevis,Saint Kitts and Nevis
SLO,317,Slovakia,Slovakia
SLU,56,St. Lucia,Saint Lucia
SLV,349,Slovenia,Slovenia
SNM,331,San Marino,San Marino
SOL,940,Solomon Islands,Solomon Islands
SOM,520,Somalia,Somalia
SPN,230,Spain,Spain
SRI,780,Sri Lanka,Sri Lanka
SSD,626,South Sudan,South Sudan
STP,403,Sao Tome and Principe,Sao Tome and Principe
SUD,625,Sudan,Sudan
SUR,115,Suriname,Suriname
SVG,57,St. Vincent and the Grenadines,Saint Vincent and the Grenadines
SWA,572,Swaziland,Eswatini
SWD,380,Sweden,Sweden
SWZ,225,Switzerland,Switzerland
SYR,652,Syria,Syria
TAJ,702,Tajikistan,Tajikistan
TAW,713,Taiwan,Taiwan
TAZ,510,Tanzania,Tanzania
THI,800,Thailand,Thailand
TKM,701,Turkmenistan,Turkmenistan
TOG,461,Togo,Togo
TON,955,Tonga,Tonga
TRI,52,Trinidad and Tobago,Trinidad and Tobago
TUN,616,Tunisia,Tunisia
TUR,640,Turkey,Turkey (Turkiye)
TUV,947,Tuvalu,Tuvalu
UAE,696,United Arab Emirates,United Arab Emirates
UGA,500,Uganda,Uganda
UKG,200,United Kingdom,United Kingdom
UKR,369,Ukraine,Ukraine
URU,165,Uruguay,Uruguay
USA,2,United States of America,United States
UZB,704,Uzbekistan,Uzbekistan
VAN,935,Vanuatu,Vanuatu
VEN,101,Venezuela,Venezuela
WSM,990,Samoa,Samoa
YEM,679,Yemen,Yemen
ZAM,551,Zambia,Zambia
ZIM,552,Zimbabwe,Zimbabwe
