episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,338.04190640671027,0.0,896,0,2688,False,0,1,04288_00000,2023-11-16_21-56-32,1700200592,2.6543128490448,2.6543128490448,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,2.6543128490448,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],2650.527,1156.487,896,0,2688,0,46.4,89.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,5376,258,1792,258,896,258,500.070642015422,143.99355540176214,1792,258,5376,False,0,2,04288_00000,2023-11-16_21-56-34,1700200594,1.8059346675872803,4.46024751663208,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,4.46024751663208,2,1792,258,5376,258,nan,nan,nan,nan,0,0,[],[],2221.122,1089.414,1792,258,5376,258,45.63333333333333,89.66666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,896,258,572.3580079101564,164.808444241987,2688,258,8064,False,0,3,04288_00000,2023-11-16_21-56-35,1700200595,1.583327054977417,6.043574571609497,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,6.043574571609497,3,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],2002.552,1056.289,2688,516,8064,516,67.8,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,536.3039620972115,154.42681051459886,3584,258,10752,False,0,4,04288_00000,2023-11-16_21-56-37,1700200597,1.6883039474487305,7.7318785190582275,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.7318785190582275,4,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],1919.565,1068.814,3584,774,10752,774,54.13333333333333,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,13440,1032,4480,1032,896,258,556.886362531726,160.35343921114432,4480,258,13440,False,0,5,04288_00000,2023-11-16_21-56-39,1700200599,1.6240792274475098,9.355957746505737,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,9.355957746505737,5,4480,1032,13440,1032,nan,nan,nan,nan,0,0,[],[],1857.429,1061.786,4480,1032,13440,1032,69.5,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,896,258,495.1094224363396,142.56498994260673,5376,258,16128,False,0,6,04288_00000,2023-11-16_21-56-40,1700200600,1.8230931758880615,11.179050922393799,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,11.179050922393799,6,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],1849.465,1057.291,5376,1290,16128,1290,52.26666666666667,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,18816,1548,6272,1548,896,258,555.3489585626909,159.91074922898912,6272,258,18816,False,0,7,04288_00000,2023-11-16_21-56-42,1700200602,1.6296987533569336,12.808749675750732,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,12.808749675750732,7,6272,1548,18816,1548,nan,nan,nan,nan,0,0,[],[],1815.738,1055.057,6272,1548,18816,1548,68.4,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,896,258,555.9112700797086,160.07266482205895,7168,258,21504,False,0,8,04288_00000,2023-11-16_21-56-44,1700200604,1.6281218528747559,14.436871528625488,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,14.436871528625488,8,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],1790.232,1053.841,7168,1806,21504,1806,68.85,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,24192,2064,8064,2064,896,258,554.1643221703101,159.56963741064735,8064,258,24192,False,0,9,04288_00000,2023-11-16_21-56-45,1700200605,1.631314754486084,16.068186283111572,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,16.068186283111572,9,8064,2064,24192,2064,nan,nan,nan,nan,0,0,[],[],1770.96,1052.847,8064,2064,24192,2064,53.56666666666667,89.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,896,258,547.9891419859154,157.7915163307658,8960,258,26880,False,0,10,04288_00000,2023-11-16_21-56-47,1700200607,1.6513350009918213,17.719521284103394,46177,jang-yejun-ui-MacBookAir.local,127.0.0.1,17.719521284103394,10,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],1757.365,1053.3,8960,2322,26880,2322,72.6,89.75,[],[]
