episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,306.1396353577811,0.0,896,0,2688,False,0,1,566d8_00000,2023-11-16_22-20-19,1700202019,2.930453062057495,2.930453062057495,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,2.930453062057495,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],2926.734,1427.013,896,0,2688,0,44.42,92.22,[],[]
nan,nan,nan,nan,0,0,7,0,0,5376,258,1792,258,896,258,389.4556987369026,112.14237753808132,1792,258,5376,False,0,2,566d8_00000,2023-11-16_22-20-21,1700202021,2.317509889602661,5.247962951660156,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,5.247962951660156,2,1792,258,5376,258,nan,nan,nan,nan,0,0,[],[],2613.677,1479.782,1792,258,5376,258,69.3,92.2,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,896,258,477.3384231190484,137.44789415704741,2688,258,8064,False,0,3,566d8_00000,2023-11-16_22-20-23,1700202023,1.8931279182434082,7.1410908699035645,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.1410908699035645,3,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],2368.133,1420.595,2688,516,8064,516,66.1,92.26666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,465.6112978836044,134.07111032809144,3584,258,10752,False,0,4,566d8_00000,2023-11-16_22-20-25,1700202025,1.9378609657287598,9.078951835632324,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,9.078951835632324,4,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],2257.181,1403.571,3584,774,10752,774,63.866666666666674,92.23333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,13440,1032,4480,1032,896,258,473.7602887367578,136.4175831407182,4480,258,13440,False,0,5,566d8_00000,2023-11-16_22-20-27,1700202027,1.9089500904083252,10.98790192604065,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,10.98790192604065,5,4480,1032,13440,1032,nan,nan,nan,nan,0,0,[],[],2183.989,1388.766,4480,1032,13440,1032,85.8,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,896,258,441.4715054367854,127.12014330657436,5376,258,16128,False,0,6,566d8_00000,2023-11-16_22-20-29,1700202029,2.046700954437256,13.034602880477905,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.034602880477905,6,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],2158.246,1364.097,5376,1290,16128,1290,58.96666666666667,92.23333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,18816,1548,6272,1548,896,258,454.8643864723073,130.9765755690349,6272,258,18816,False,0,7,566d8_00000,2023-11-16_22-20-31,1700202031,1.988245964050293,15.022848844528198,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,15.022848844528198,7,6272,1548,18816,1548,nan,nan,nan,nan,0,0,[],[],2131.324,1366.522,6272,1548,18816,1548,71.13333333333334,92.26666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,896,258,442.3171012142223,127.3636295907024,7168,258,21504,False,0,8,566d8_00000,2023-11-16_22-20-33,1700202033,2.0422632694244385,17.065112113952637,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,17.065112113952637,8,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],2118.113,1376.417,7168,1806,21504,1806,73.0,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,24192,2064,8064,2064,896,258,468.10932949853924,134.79040961007044,8064,258,24192,False,0,9,566d8_00000,2023-11-16_22-20-35,1700202035,1.930053949356079,18.995166063308716,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,18.995166063308716,9,8064,2064,24192,2064,nan,nan,nan,nan,0,0,[],[],2095.438,1371.946,8064,2064,24192,2064,67.6,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,896,258,490.8765505873975,141.3461496111033,8960,258,26880,False,0,10,566d8_00000,2023-11-16_22-20-37,1700202037,1.8415238857269287,20.836689949035645,48481,jang-yejun-ui-MacBookAir.local,127.0.0.1,20.836689949035645,10,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],2068.417,1359.888,8960,2322,26880,2322,85.85,92.3,[],[]
