episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,696.7449024257706,0.0,896,0,2688,False,0,1,7c290_00000,2023-11-18_19-55-41,1700366141,1.2883720397949219,1.2883720397949219,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,1.2883720397949219,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],1285.958,688.695,896,0,2688,0,44.9,64.45,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,1792,516,955.1306927366436,275.02647179247106,2688,516,8064,False,0,2,7c290_00000,2023-11-18_19-55-43,1700366143,1.8851561546325684,3.1735281944274902,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,3.1735281944274902,2,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],1054.022,666.749,2688,516,8064,516,61.23333333333333,64.43333333333334,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,809.7738323923204,233.17148298796727,3584,258,10752,False,0,3,7c290_00000,2023-11-18_19-55-44,1700366144,1.1155040264129639,4.289032220840454,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,4.289032220840454,3,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],1067.13,675.843,3584,774,10752,774,61.300000000000004,64.55,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,1792,516,984.4834879266335,283.47850433601724,5376,516,16128,False,0,4,7c290_00000,2023-11-18_19-55-46,1700366146,1.828819990158081,6.117852210998535,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,6.117852210998535,4,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],1014.783,660.548,5376,1290,16128,1290,71.95,64.6,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,1792,516,938.7984048330641,270.32364782023495,7168,516,21504,False,0,5,7c290_00000,2023-11-18_19-55-48,1700366148,1.9186389446258545,8.03649115562439,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,8.03649115562439,5,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],999.684,665.428,7168,1806,21504,1806,71.60000000000001,64.53333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,1792,516,883.5777218104085,254.4230493605864,8960,516,26880,False,0,6,7c290_00000,2023-11-18_19-55-50,1700366150,2.036479949951172,10.072971105575562,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,10.072971105575562,6,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],1002.554,665.515,8960,2322,26880,2322,63.4,64.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,32256,2838,10752,2838,1792,516,962.2364854432818,277.07255942451644,10752,516,32256,False,0,7,7c290_00000,2023-11-18_19-55-52,1700366152,1.8722097873687744,11.945180892944336,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,11.945180892944336,7,10752,2838,32256,2838,nan,nan,nan,nan,0,0,[],[],970.188,667.062,10752,2838,32256,2838,67.1,64.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,37632,3354,12544,3354,1792,516,966.0887593777037,278.181807945812,12544,516,37632,False,0,8,7c290_00000,2023-11-18_19-55-54,1700366154,1.8646807670593262,13.809861660003662,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.809861660003662,8,12544,3354,37632,3354,nan,nan,nan,nan,0,0,[],[],947.414,656.99,12544,3354,37632,3354,72.13333333333334,64.53333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,43008,3870,14336,3870,1792,516,933.8746214773727,268.9058619879042,14336,516,43008,False,0,9,7c290_00000,2023-11-18_19-55-56,1700366156,1.9282701015472412,15.738131761550903,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,15.738131761550903,9,14336,3870,43008,3870,nan,nan,nan,nan,0,0,[],[],957.282,667.957,14336,3870,43008,3870,71.56666666666666,64.6,[],[]
nan,nan,nan,nan,0,0,7,0,0,45696,4128,15232,4128,896,258,788.2682316962539,226.97902207325168,15232,258,45696,False,0,10,7c290_00000,2023-11-18_19-55-57,1700366157,1.1460390090942383,16.88417077064514,1618,jang-yejun-ui-MacBookAir.local,127.0.0.1,16.88417077064514,10,15232,4128,45696,4128,nan,nan,nan,nan,0,0,[],[],977.373,671.211,15232,4128,45696,4128,51.849999999999994,64.65,[],[]
