episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,304.08277571419995,0.0,896,0,2688,False,0,1,8e3b5_00000,2023-11-16_22-14-44,1700201684,2.951040029525757,2.951040029525757,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,2.951040029525757,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],2946.53,1455.787,896,0,2688,0,56.38000000000001,90.56000000000002,[],[]
nan,nan,nan,nan,0,0,7,0,0,5376,258,1792,258,896,258,354.62160061969433,102.11202339272448,1792,258,5376,False,0,2,8e3b5_00000,2023-11-16_22-14-47,1700201687,2.5455620288848877,5.4966020584106445,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,5.4966020584106445,2,1792,258,5376,258,nan,nan,nan,nan,0,0,[],[],2736.561,1599.608,1792,258,5376,258,79.53333333333332,90.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,896,258,457.348912491609,131.69198596298563,2688,258,8064,False,0,3,8e3b5_00000,2023-11-16_22-14-49,1700201689,1.977095127105713,7.473697185516357,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.473697185516357,3,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],2477.399,1529.619,2688,516,8064,516,72.36666666666666,90.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,493.0400075043015,141.96910930369395,3584,258,10752,False,0,4,8e3b5_00000,2023-11-16_22-14-50,1700201690,1.832157850265503,9.30585503578186,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,9.30585503578186,4,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],2312.366,1457.91,3584,774,10752,774,62.56666666666667,90.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,13440,1032,4480,1032,896,258,489.8699224062294,141.0562946214366,4480,258,13440,False,0,5,8e3b5_00000,2023-11-16_22-14-52,1700201692,1.8468880653381348,11.152743101119995,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,11.152743101119995,5,4480,1032,13440,1032,nan,nan,nan,nan,0,0,[],[],2215.692,1416.252,4480,1032,13440,1032,85.5,90.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,896,258,417.2297459193746,120.13981523124849,5376,258,16128,False,0,6,8e3b5_00000,2023-11-16_22-14-54,1700201694,2.164734363555908,13.317477464675903,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.317477464675903,6,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],2204.318,1407.676,5376,1290,16128,1290,67.33333333333333,90.59999999999998,[],[]
nan,nan,nan,nan,0,0,7,0,0,18816,1548,6272,1548,896,258,447.4276882297153,128.8352048697171,6272,258,18816,False,0,7,8e3b5_00000,2023-11-16_22-14-57,1700201697,2.0207250118255615,15.338202476501465,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,15.338202476501465,7,6272,1548,18816,1548,nan,nan,nan,nan,0,0,[],[],2175.491,1412.281,6272,1548,18816,1548,70.46666666666667,90.59999999999998,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,896,258,336.61773987317594,96.92787599026718,7168,258,21504,False,0,8,8e3b5_00000,2023-11-16_22-14-59,1700201699,2.675940990447998,18.014143466949463,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,18.014143466949463,8,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],2236.271,1497.235,7168,1806,21504,1806,77.325,90.69999999999999,[],[]
nan,nan,nan,nan,0,0,7,0,0,24192,2064,8064,2064,896,258,488.5085641492266,140.6642963733264,8064,258,24192,False,0,9,8e3b5_00000,2023-11-16_22-15-01,1700201701,1.8471732139587402,19.861316680908203,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,19.861316680908203,9,8064,2064,24192,2064,nan,nan,nan,nan,0,0,[],[],2191.588,1471.305,8064,2064,24192,2064,66.43333333333334,90.59999999999998,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,896,258,446.62704615126813,128.60466284266425,8960,258,26880,False,0,10,8e3b5_00000,2023-11-16_22-15-03,1700201703,2.020854949951172,21.882171630859375,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,21.882171630859375,10,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],2173.04,1468.496,8960,2322,26880,2322,70.83333333333333,90.59999999999998,[],[]
nan,nan,nan,nan,0,0,7,0,0,29568,2580,9856,2580,896,258,467.72341702148475,134.67928749056145,9856,258,29568,False,0,11,8e3b5_00000,2023-11-16_22-15-05,1700201705,1.9318959712982178,23.814067602157593,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,23.814067602157593,11,9856,2580,29568,2580,nan,nan,nan,nan,0,0,[],[],2069.95,1456.655,9856,2580,29568,2580,67.86666666666666,90.66666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,32256,2838,10752,2838,896,258,369.2919312470348,106.33629270282923,10752,258,32256,False,0,12,8e3b5_00000,2023-11-16_22-15-08,1700201708,2.4412360191345215,26.255303621292114,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,26.255303621292114,12,10752,2838,32256,2838,nan,nan,nan,nan,0,0,[],[],2059.913,1446.087,10752,2838,32256,2838,77.46666666666667,90.86666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,34944,3096,11648,3096,896,258,503.881975043331,145.09101513524487,11648,258,34944,False,0,13,8e3b5_00000,2023-11-16_22-15-09,1700201709,1.795409917831421,28.050713539123535,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,28.050713539123535,13,11648,3096,34944,3096,nan,nan,nan,nan,0,0,[],[],2041.82,1427.446,11648,3096,34944,3096,62.46666666666667,90.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,37632,3354,12544,3354,896,258,469.07731239323397,135.06913682751605,12544,258,37632,False,0,14,8e3b5_00000,2023-11-16_22-15-11,1700201711,1.9237890243530273,29.974502563476562,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,29.974502563476562,14,12544,3354,37632,3354,nan,nan,nan,nan,0,0,[],[],2051.101,1438.02,12544,3354,37632,3354,88.7,90.7,[],[]
nan,nan,nan,nan,0,0,7,0,0,40320,3612,13440,3612,896,258,468.716809514782,134.96533131117607,13440,258,40320,False,0,15,8e3b5_00000,2023-11-16_22-15-13,1700201713,1.927696704864502,31.902199268341064,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,31.902199268341064,15,13440,3612,40320,3612,nan,nan,nan,nan,0,0,[],[],2059.355,1448.42,13440,3612,40320,3612,62.73333333333333,90.59999999999998,[],[]
nan,nan,nan,nan,0,0,7,0,0,43008,3870,14336,3870,896,258,496.4318566339455,142.94578014682804,14336,258,43008,False,0,16,8e3b5_00000,2023-11-16_22-15-15,1700201715,1.8237948417663574,33.72599411010742,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,33.72599411010742,16,14336,3870,43008,3870,nan,nan,nan,nan,0,0,[],[],2025.094,1435.938,14336,3870,43008,3870,61.800000000000004,90.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,45696,4128,15232,4128,896,258,418.102551094426,120.39113636424321,15232,258,45696,False,0,17,8e3b5_00000,2023-11-16_22-15-17,1700201717,2.1613287925720215,35.88732290267944,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,35.88732290267944,17,15232,4128,45696,4128,nan,nan,nan,nan,0,0,[],[],2039.139,1448.865,15232,4128,45696,4128,74.93333333333334,90.76666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,48384,4386,16128,4386,896,258,445.34833084574313,128.2364613372787,16128,258,48384,False,0,18,8e3b5_00000,2023-11-16_22-15-19,1700201719,2.032701253890991,37.920024156570435,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,37.920024156570435,18,16128,4386,48384,4386,nan,nan,nan,nan,0,0,[],[],1974.152,1384.658,16128,4386,48384,4386,70.13333333333334,90.76666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,51072,4644,17024,4644,896,258,372.6088907674188,107.29139935043979,17024,258,51072,False,0,19,8e3b5_00000,2023-11-16_22-15-22,1700201722,2.4220120906829834,40.34203624725342,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,40.34203624725342,19,17024,4644,51072,4644,nan,nan,nan,nan,0,0,[],[],2031.199,1417.79,17024,4644,51072,4644,76.03333333333335,90.73333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,53760,4902,17920,4902,896,258,442.9856685198977,127.55614115863125,17920,258,53760,False,0,20,8e3b5_00000,2023-11-16_22-15-24,1700201724,2.0382039546966553,42.38024020195007,47759,jang-yejun-ui-MacBookAir.local,127.0.0.1,42.38024020195007,20,17920,4902,53760,4902,nan,nan,nan,nan,0,0,[],[],2032.847,1419.599,17920,4902,53760,4902,67.60000000000001,90.76666666666667,[],[]
