episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,319.93290809511655,0.0,896,0,2688,False,0,1,9b5ef_00000,2023-11-16_22-58-03,1700204283,2.8046090602874756,2.8046090602874756,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,2.8046090602874756,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],2800.536,1294.997,896,0,2688,0,42.38,92.26,[],[]
nan,nan,nan,nan,0,0,7,0,0,5376,258,1792,258,896,258,361.8296967717685,104.18756893651371,1792,258,5376,False,0,2,9b5ef_00000,2023-11-16_22-58-05,1700204285,2.4906089305877686,5.295217990875244,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,5.295217990875244,2,1792,258,5376,258,nan,nan,nan,nan,0,0,[],[],2638.405,1475.523,1792,258,5376,258,72.89999999999999,92.26666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,896,258,501.0109795646622,144.26432224071746,2688,258,8064,False,0,3,9b5ef_00000,2023-11-16_22-58-07,1700204287,1.804692029953003,7.099910020828247,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.099910020828247,3,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],2355.05,1387.092,2688,516,8064,516,61.699999999999996,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,476.28893292850233,137.14569720485895,3584,258,10752,False,0,4,9b5ef_00000,2023-11-16_22-58-09,1700204289,1.8988049030303955,8.998714923858643,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,8.998714923858643,4,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],2236.579,1363.798,3584,774,10752,774,89.6,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,13440,1032,4480,1032,896,258,468.48939655426034,134.899848561383,4480,258,13440,False,0,5,9b5ef_00000,2023-11-16_22-58-11,1700204291,1.926570177078247,10.92528510093689,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,10.92528510093689,5,4480,1032,13440,1032,nan,nan,nan,nan,0,0,[],[],2171.757,1361.015,4480,1032,13440,1032,63.300000000000004,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,896,258,407.269408197891,117.271771556982,5376,258,16128,False,0,6,9b5ef_00000,2023-11-16_22-58-13,1700204293,2.222805976867676,13.148091077804565,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.148091077804565,6,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],2176.461,1372.47,5376,1290,16128,1290,68.73333333333333,92.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,18816,1548,6272,1548,896,258,386.4711007140688,111.28297319668499,6272,258,18816,False,0,7,9b5ef_00000,2023-11-16_22-58-16,1700204296,2.3348841667175293,15.482975244522095,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,15.482975244522095,7,6272,1548,18816,1548,nan,nan,nan,nan,0,0,[],[],2196.736,1424.036,6272,1548,18816,1548,70.5,92.4,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,896,258,406.378704312359,117.01529655422837,7168,258,21504,False,0,8,9b5ef_00000,2023-11-16_22-58-18,1700204298,2.223220109939575,17.70619535446167,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,17.70619535446167,8,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],2197.743,1449.199,7168,1806,21504,1806,79.36666666666666,92.43333333333334,[],[]
nan,nan,nan,nan,0,0,7,0,0,24192,2064,8064,2064,896,258,378.4715804136816,108.97953989590386,8064,258,24192,False,0,9,9b5ef_00000,2023-11-16_22-58-20,1700204300,2.383715867996216,20.089911222457886,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,20.089911222457886,9,8064,2064,24192,2064,nan,nan,nan,nan,0,0,[],[],2216.592,1486.107,8064,2064,24192,2064,86.56666666666666,92.43333333333334,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,896,258,420.2114492718944,120.99838606266603,8960,258,26880,False,0,10,9b5ef_00000,2023-11-16_22-58-23,1700204303,2.150480031967163,22.24039125442505,51539,jang-yejun-ui-MacBookAir.local,127.0.0.1,22.24039125442505,10,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],2208.153,1492.582,8960,2322,26880,2322,78.56666666666666,92.46666666666665,[],[]
