episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,731.6872384012635,0.0,896,0,2688,False,0,1,cfa97_00000,2023-11-18_21-02-27,1700370147,1.2272989749908447,1.2272989749908447,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,1.2272989749908447,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],1224.545,617.313,896,0,2688,0,0.0,64.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,1792,516,954.4890526113674,274.84171380996963,2688,516,8064,False,0,2,cfa97_00000,2023-11-18_21-02-29,1700370149,1.8862669467926025,3.1135659217834473,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,3.1135659217834473,2,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],1033.978,643.913,2688,516,8064,516,68.3,64.53333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,844.2443654087044,243.09714986098857,3584,258,10752,False,0,3,cfa97_00000,2023-11-18_21-02-30,1700370150,1.0724270343780518,4.185992956161499,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,4.185992956161499,3,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],1040.803,647.519,3584,774,10752,774,51.6,64.55,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,1792,516,965.987691041465,278.15270567935045,5376,516,16128,False,0,4,cfa97_00000,2023-11-18_21-02-32,1700370152,1.8647432327270508,6.05073618888855,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,6.05073618888855,4,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],1003.044,649.481,5376,1290,16128,1290,77.95,64.45,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,1792,516,971.5431212025834,279.7523719534224,7168,516,21504,False,0,5,cfa97_00000,2023-11-18_21-02-34,1700370154,1.8536231517791748,7.904359340667725,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.904359340667725,5,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],982.838,650.205,7168,1806,21504,1806,67.1,64.46666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,1792,516,871.3732329958182,250.90881039388515,8960,516,26880,False,0,6,cfa97_00000,2023-11-18_21-02-36,1700370156,2.0652730464935303,9.969632387161255,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,9.969632387161255,6,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],991.919,658.649,8960,2322,26880,2322,66.56666666666666,64.4,[],[]
nan,nan,nan,nan,0,0,7,0,0,32256,2838,10752,2838,1792,516,956.2319787781994,275.3435831749726,10752,516,32256,False,0,7,cfa97_00000,2023-11-18_21-02-38,1700370158,1.8825480937957764,11.852180480957031,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,11.852180480957031,7,10752,2838,32256,2838,nan,nan,nan,nan,0,0,[],[],966.071,667.644,10752,2838,32256,2838,68.8,64.2,[],[]
nan,nan,nan,nan,0,0,7,0,0,37632,3354,12544,3354,1792,516,952.5784694905154,274.29156822383146,12544,516,37632,False,0,8,cfa97_00000,2023-11-18_21-02-40,1700370160,1.8901770114898682,13.7423574924469,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.7423574924469,8,12544,3354,37632,3354,nan,nan,nan,nan,0,0,[],[],951.113,665.53,12544,3354,37632,3354,70.63333333333333,64.13333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,43008,3870,14336,3870,1792,516,911.4842208495334,262.4586260928344,14336,516,43008,False,0,9,cfa97_00000,2023-11-18_21-02-42,1700370162,1.9774038791656494,15.719761371612549,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,15.719761371612549,9,14336,3870,43008,3870,nan,nan,nan,nan,0,0,[],[],962.205,676.913,14336,3870,43008,3870,70.86666666666666,64.26666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,45696,4128,15232,4128,896,258,718.11737765088,206.77933418965074,15232,258,45696,False,0,10,cfa97_00000,2023-11-18_21-02-43,1700370163,1.2567720413208008,16.97653341293335,6770,jang-yejun-ui-MacBookAir.local,127.0.0.1,16.97653341293335,10,15232,4128,45696,4128,nan,nan,nan,nan,0,0,[],[],994.473,693.279,15232,4128,45696,4128,56.2,64.25,[],[]
