episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,1071,0,357,0,357,0,355.23058192311817,0.0,357,0,1071,False,0,1,db258_00000,2023-11-16_21-48-05,1700200085,1.0070106983184814,1.0070106983184814,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,1.0070106983184814,1,357,0,1071,0,nan,nan,nan,nan,0,0,[],[],11.474,9.891,357,0,1071,0,19.45,60.9,[],[]
nan,nan,nan,nan,0,0,7,0,0,2583,0,861,0,504,0,503.3415272331409,0.0,861,0,2583,False,0,2,db258_00000,2023-11-16_21-48-06,1700200086,1.003899097442627,2.0109097957611084,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,2.0109097957611084,2,861,0,2583,0,nan,nan,nan,nan,0,0,[],[],13.417,11.504,861,0,2583,0,57.6,61.0,[],[]
nan,nan,nan,nan,0,0,7,0,0,4137,0,1379,0,518,0,512.1152527718909,0.0,1379,0,4137,False,0,3,db258_00000,2023-11-16_21-48-07,1700200087,1.0141539573669434,3.0250637531280518,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,3.0250637531280518,3,1379,0,4137,0,nan,nan,nan,nan,0,0,[],[],13.916,11.868,1379,0,4137,0,58.55,61.0,[],[]
nan,nan,nan,nan,0,0,7,0,0,4641,1806,1547,1806,168,1806,164.1790621349243,1764.924917950436,1547,1806,4641,False,0,4,db258_00000,2023-11-16_21-48-08,1700200088,1.031515121459961,4.056578874588013,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,4.056578874588013,4,1547,1806,4641,1806,nan,nan,nan,nan,0,0,[],[],83.481,14.239,1547,1806,4641,1806,49.5,61.1,[],[]
nan,nan,nan,nan,0,0,7,0,0,4956,5676,1652,5676,105,3870,67.95035078984223,2504.4557862541856,1652,3870,4956,False,0,5,db258_00000,2023-11-16_21-48-10,1700200090,1.5534873008728027,5.610066175460815,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,5.610066175460815,5,1652,5676,4956,5676,nan,nan,nan,nan,0,0,[],[],102.006,14.985,1652,5676,4956,5676,31.366666666666664,61.26666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,5271,9546,1757,9546,105,3870,68.11750124935676,2510.6164746191494,1757,3870,5271,False,0,6,db258_00000,2023-11-16_21-48-12,1700200092,1.5506160259246826,7.160682201385498,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.160682201385498,6,1757,9546,5271,9546,nan,nan,nan,nan,0,0,[],[],103.104,15.923,1757,9546,5271,9546,32.0,61.45,[],[]
nan,nan,nan,nan,0,0,7,0,0,5586,13416,1862,13416,105,3870,63.09815761060182,2325.617809076467,1862,3870,5586,False,0,7,db258_00000,2023-11-16_21-48-13,1700200093,1.6725399494171143,8.833222150802612,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,8.833222150802612,7,1862,13416,5586,13416,nan,nan,nan,nan,0,0,[],[],115.557,16.061,1862,13416,5586,13416,29.5,61.4,[],[]
nan,nan,nan,nan,0,0,7,0,0,5901,17286,1967,17286,105,3870,68.1478262887914,2511.7341689297405,1967,3870,5901,False,0,8,db258_00000,2023-11-16_21-48-15,1700200095,1.549734115600586,10.382956266403198,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,10.382956266403198,8,1967,17286,5901,17286,nan,nan,nan,nan,0,0,[],[],103.148,16.194,1967,17286,5901,17286,31.233333333333334,61.4,[],[]
nan,nan,nan,nan,0,0,7,0,0,6216,21156,2072,21156,105,3870,68.82524231333696,2536.7017881201336,2072,3870,6216,False,0,9,db258_00000,2023-11-16_21-48-16,1700200096,1.5357329845428467,11.918689250946045,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,11.918689250946045,9,2072,21156,6216,21156,nan,nan,nan,nan,0,0,[],[],102.444,16.534,2072,21156,6216,21156,30.15,61.4,[],[]
nan,nan,nan,nan,0,0,7,0,0,6531,25026,2177,25026,105,3870,67.88255444453077,2501.957006669848,2177,3870,6531,False,0,10,db258_00000,2023-11-16_21-48-18,1700200098,1.5557551383972168,13.474444389343262,44716,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.474444389343262,10,2177,25026,6531,25026,nan,nan,nan,nan,0,0,[],[],103.026,16.208,2177,25026,6531,25026,35.650000000000006,61.4,[],[]
