episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,675.7209484304005,0.0,896,0,2688,False,0,1,fedad_00000,2023-11-18_20-56-37,1700369797,1.328589916229248,1.328589916229248,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,1.328589916229248,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],1325.969,749.785,896,0,2688,0,45.85,64.85,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,1792,516,926.83971522236,266.88018585643846,2688,516,8064,False,0,2,fedad_00000,2023-11-18_20-56-39,1700369799,1.9421029090881348,3.270692825317383,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,3.270692825317383,2,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],1086.446,706.53,2688,516,8064,516,59.6,65.03333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,824.3357465410263,237.36453416025088,3584,258,10752,False,0,3,fedad_00000,2023-11-18_20-56-40,1700369800,1.0946688652038574,4.36536169052124,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,4.36536169052124,3,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],1086.563,702.788,3584,774,10752,774,63.650000000000006,65.05,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,1792,516,938.4837867224182,270.2330546589106,5376,516,16128,False,0,4,fedad_00000,2023-11-18_20-56-42,1700369802,1.9185080528259277,6.283869743347168,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,6.283869743347168,4,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],1042.611,695.421,5376,1290,16128,1290,65.66666666666667,65.13333333333334,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,1792,516,919.3425729214076,264.7214105063875,7168,516,21504,False,0,5,fedad_00000,2023-11-18_20-56-44,1700369804,1.9587619304656982,8.242631673812866,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,8.242631673812866,5,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],1025.605,698.479,7168,1806,21504,1806,78.55,65.1,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,1792,516,864.0000183922908,248.78571958170872,8960,516,26880,False,0,6,fedad_00000,2023-11-18_20-56-46,1700369806,2.084313154220581,10.326944828033447,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,10.326944828033447,6,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],1027.889,699.387,8960,2322,26880,2322,68.86666666666666,65.06666666666666,[],[]
nan,nan,nan,nan,0,0,7,0,0,32256,2838,10752,2838,1792,516,955.3881975975831,275.10061939751836,10752,516,32256,False,0,7,fedad_00000,2023-11-18_20-56-48,1700369808,1.8841729164123535,12.2111177444458,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,12.2111177444458,7,10752,2838,32256,2838,nan,nan,nan,nan,0,0,[],[],987.991,691.325,10752,2838,32256,2838,67.06666666666666,65.1,[],[]
nan,nan,nan,nan,0,0,7,0,0,34944,3096,11648,3096,896,258,756.174167515446,217.73765091404584,11648,258,34944,False,0,8,fedad_00000,2023-11-18_20-56-49,1700369809,1.1944808959960938,13.405598640441895,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.405598640441895,8,11648,3096,34944,3096,nan,nan,nan,nan,0,0,[],[],1008.008,710.745,11648,3096,34944,3096,67.85,65.15,[],[]
nan,nan,nan,nan,0,0,7,0,0,37632,3354,12544,3354,896,258,689.9472389324415,198.6678433533146,12544,258,37632,False,0,9,fedad_00000,2023-11-18_20-56-50,1700369810,1.3075599670410156,14.71315860748291,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,14.71315860748291,9,12544,3354,37632,3354,nan,nan,nan,nan,0,0,[],[],1029.179,743.133,12544,3354,37632,3354,74.5,65.95,[],[]
nan,nan,nan,nan,0,0,7,0,0,43008,3870,14336,3870,1792,516,917.6768485568022,264.2417711246149,14336,516,43008,False,0,10,fedad_00000,2023-11-18_20-56-52,1700369812,1.9607419967651367,16.673900604248047,6061,jang-yejun-ui-MacBookAir.local,127.0.0.1,16.673900604248047,10,14336,3870,43008,3870,nan,nan,nan,nan,0,0,[],[],1033.509,749.1,14336,3870,43008,3870,75.65,66.35,[],[]
