episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,7,0,0,2688,0,896,0,896,0,723.1754833249594,0.0,896,0,2688,False,0,1,ff3c2_00000,2023-11-18_21-10-56,1700370656,1.2416491508483887,1.2416491508483887,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,1.2416491508483887,1,896,0,2688,0,nan,nan,nan,nan,0,0,[],[],1238.957,667.069,896,0,2688,0,41.85,63.75,[],[]
nan,nan,nan,nan,0,0,7,0,0,8064,516,2688,516,1792,516,1015.746473155439,292.48056927913314,2688,516,8064,False,0,2,ff3c2_00000,2023-11-18_21-10-58,1700370658,1.7730228900909424,3.014672040939331,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,3.014672040939331,2,2688,516,8064,516,nan,nan,nan,nan,0,0,[],[],1001.043,618.289,2688,516,8064,516,57.23333333333333,64.33333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,10752,774,3584,774,896,258,877.0701250691393,252.54921012035484,3584,258,10752,False,0,3,ff3c2_00000,2023-11-18_21-10-59,1700370659,1.0306642055511475,4.0453362464904785,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,4.0453362464904785,3,3584,774,10752,774,nan,nan,nan,nan,0,0,[],[],1006.173,618.991,3584,774,10752,774,74.1,64.3,[],[]
nan,nan,nan,nan,0,0,7,0,0,16128,1290,5376,1290,1792,516,1036.901026776082,298.57194744222005,5376,516,16128,False,0,4,ff3c2_00000,2023-11-18_21-11-01,1700370661,1.7370550632476807,5.782391309738159,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,5.782391309738159,4,5376,1290,16128,1290,nan,nan,nan,nan,0,0,[],[],958.809,607.634,5376,1290,16128,1290,62.03333333333333,64.43333333333334,[],[]
nan,nan,nan,nan,0,0,7,0,0,21504,1806,7168,1806,1792,516,1006.5582320383983,289.83484806462803,7168,516,21504,False,0,5,ff3c2_00000,2023-11-18_21-11-02,1700370662,1.7899730205535889,7.572364330291748,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,7.572364330291748,5,7168,1806,21504,1806,nan,nan,nan,nan,0,0,[],[],941.643,609.939,7168,1806,21504,1806,67.7,64.5,[],[]
nan,nan,nan,nan,0,0,7,0,0,26880,2322,8960,2322,1792,516,954.8559797528974,274.9473691699191,8960,516,26880,False,0,6,ff3c2_00000,2023-11-18_21-11-04,1700370664,1.8841068744659424,9.45647120475769,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,9.45647120475769,6,8960,2322,26880,2322,nan,nan,nan,nan,0,0,[],[],940.982,605.073,8960,2322,26880,2322,68.7,64.53333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,32256,2838,10752,2838,1792,516,1031.497577497571,297.0160435205059,10752,516,32256,False,0,7,ff3c2_00000,2023-11-18_21-11-06,1700370666,1.7465910911560059,11.203062295913696,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,11.203062295913696,7,10752,2838,32256,2838,nan,nan,nan,nan,0,0,[],[],902.766,599.274,10752,2838,32256,2838,58.13333333333333,64.56666666666666,[],[]
nan,nan,nan,nan,0,0,7,0,0,37632,3354,12544,3354,1792,516,1000.6998818789029,288.14795705888054,12544,516,37632,False,0,8,ff3c2_00000,2023-11-18_21-11-08,1700370668,1.8011736869812012,13.004235982894897,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,13.004235982894897,8,12544,3354,37632,3354,nan,nan,nan,nan,0,0,[],[],891.307,600.143,12544,3354,37632,3354,75.95,64.6,[],[]
nan,nan,nan,nan,0,0,7,0,0,40320,3612,13440,3612,896,258,895.7471416912646,257.927190353065,13440,258,40320,False,0,9,ff3c2_00000,2023-11-18_21-11-09,1700370669,1.009634017944336,14.013870000839233,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,14.013870000839233,9,13440,3612,40320,3612,nan,nan,nan,nan,0,0,[],[],907.206,617.008,13440,3612,40320,3612,61.15,65.15,[],[]
nan,nan,nan,nan,0,0,7,0,0,43008,3870,14336,3870,896,258,740.9702012615098,213.3597231311044,14336,258,43008,False,0,10,ff3c2_00000,2023-11-18_21-11-10,1700370670,1.2194240093231201,15.233294010162354,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,15.233294010162354,10,14336,3870,43008,3870,nan,nan,nan,nan,0,0,[],[],939.436,645.042,14336,3870,43008,3870,83.5,65.1,[],[]
nan,nan,nan,nan,0,0,7,0,0,45696,4128,15232,4128,896,258,597.8570261114279,172.150795465121,15232,258,45696,False,0,11,ff3c2_00000,2023-11-18_21-11-12,1700370672,1.5078251361846924,16.741119146347046,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,16.741119146347046,11,15232,4128,45696,4128,nan,nan,nan,nan,0,0,[],[],1000.373,688.637,15232,4128,45696,4128,63.5,65.16666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,51072,4644,17024,4644,1792,516,998.2262903430591,287.4356952103898,17024,516,51072,False,0,12,ff3c2_00000,2023-11-18_21-11-13,1700370673,1.8049228191375732,18.54604196548462,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,18.54604196548462,12,17024,4644,51072,4644,nan,nan,nan,nan,0,0,[],[],1002.404,688.365,17024,4644,51072,4644,79.4,65.2,[],[]
nan,nan,nan,nan,0,0,7,0,0,53760,4902,17920,4902,896,258,797.2843773396291,229.5751890107414,17920,258,53760,False,0,13,ff3c2_00000,2023-11-18_21-11-15,1700370675,1.1336851119995117,19.67972707748413,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,19.67972707748413,13,17920,4902,53760,4902,nan,nan,nan,nan,0,0,[],[],1015.499,717.427,17920,4902,53760,4902,63.5,65.2,[],[]
nan,nan,nan,nan,0,0,7,0,0,56448,5160,18816,5160,896,258,888.0853069369074,255.7209923992434,18816,258,56448,False,0,14,ff3c2_00000,2023-11-18_21-11-16,1700370676,1.0176472663879395,20.69737434387207,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,20.69737434387207,14,18816,5160,56448,5160,nan,nan,nan,nan,0,0,[],[],1033.262,736.7,18816,5160,56448,5160,77.4,65.2,[],[]
nan,nan,nan,nan,0,0,7,0,0,61824,5676,20608,5676,1792,516,1002.3369171248925,288.61933551140874,20608,516,61824,False,0,15,ff3c2_00000,2023-11-18_21-11-17,1700370677,1.8059720993041992,22.50334644317627,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,22.50334644317627,15,20608,5676,61824,5676,nan,nan,nan,nan,0,0,[],[],1031.773,733.783,20608,5676,61824,5676,67.89999999999999,64.83333333333333,[],[]
nan,nan,nan,nan,0,0,7,0,0,64512,5934,21504,5934,896,258,890.4373987384452,256.39826883316834,21504,258,64512,False,0,16,ff3c2_00000,2023-11-18_21-11-18,1700370678,1.0147173404693604,23.51806378364563,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,23.51806378364563,16,21504,5934,64512,5934,nan,nan,nan,nan,0,0,[],[],1042.99,744.729,21504,5934,64512,5934,77.3,65.1,[],[]
nan,nan,nan,nan,0,0,7,0,0,69888,6450,23296,6450,1792,516,887.2029646644716,255.4669250931179,23296,516,69888,False,0,17,ff3c2_00000,2023-11-18_21-11-21,1700370681,2.027026891708374,25.545090675354004,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,25.545090675354004,17,23296,6450,69888,6450,nan,nan,nan,nan,0,0,[],[],1024.024,711.267,23296,6450,69888,6450,71.0,65.13333333333334,[],[]
nan,nan,nan,nan,0,0,7,0,0,75264,6966,25088,6966,1792,516,936.9551990829144,269.79290330735705,25088,516,75264,False,0,18,ff3c2_00000,2023-11-18_21-11-22,1700370682,1.9226789474487305,27.467769622802734,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,27.467769622802734,18,25088,6966,75264,6966,nan,nan,nan,nan,0,0,[],[],976.183,680.278,25088,6966,75264,6966,61.23333333333333,65.10000000000001,[],[]
nan,nan,nan,nan,0,0,7,0,0,80640,7482,26880,7482,1792,516,916.9278979625473,264.02611347582274,26880,516,80640,False,0,19,ff3c2_00000,2023-11-18_21-11-24,1700370684,1.9624292850494385,29.430198907852173,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,29.430198907852173,19,26880,7482,80640,7482,nan,nan,nan,nan,0,0,[],[],968.95,672.983,26880,7482,80640,7482,65.33333333333333,65.26666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,86016,7998,28672,7998,1792,516,993.2103429712084,285.99137107876317,28672,516,86016,False,0,20,ff3c2_00000,2023-11-18_21-11-26,1700370686,1.8132121562957764,31.24341106414795,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,31.24341106414795,20,28672,7998,86016,7998,nan,nan,nan,nan,0,0,[],[],958.598,661.669,28672,7998,86016,7998,69.7,65.0,[],[]
nan,nan,nan,nan,0,0,7,0,0,91392,8514,30464,8514,1792,516,913.3518836062767,262.9964129134145,30464,516,91392,False,0,21,ff3c2_00000,2023-11-18_21-11-28,1700370688,1.9722461700439453,33.215657234191895,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,33.215657234191895,21,30464,8514,91392,8514,nan,nan,nan,nan,0,0,[],[],965.282,669.136,30464,8514,91392,8514,69.89999999999999,64.89999999999999,[],[]
nan,nan,nan,nan,0,0,7,0,0,96768,9030,32256,9030,1792,516,977.4156923211766,281.4433578335531,32256,516,96768,False,0,22,ff3c2_00000,2023-11-18_21-11-30,1700370690,1.8427820205688477,35.05843925476074,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,35.05843925476074,22,32256,9030,96768,9030,nan,nan,nan,nan,0,0,[],[],946.639,669.628,32256,9030,96768,9030,67.89999999999999,64.66666666666667,[],[]
nan,nan,nan,nan,0,0,7,0,0,102144,9546,34048,9546,1792,516,776.0811209066411,223.46978704677835,34048,516,102144,False,0,23,ff3c2_00000,2023-11-18_21-11-32,1700370692,2.317178964614868,37.37561821937561,7608,jang-yejun-ui-MacBookAir.local,127.0.0.1,37.37561821937561,23,34048,9546,102144,9546,nan,nan,nan,nan,0,0,[],[],986.284,684.298,34048,9546,102144,9546,64.66666666666667,65.26666666666667,[],[]
